"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.22,0.51,1,93.25,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.63,0.75,0.91,93.25,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.33,0.39,0.44,93.25,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.08,0.11,0.3,93.25,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.21,0.49,0.99,93.88,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.63,0.76,0.91,93.88,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.27,0.35,0.43,93.88,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,93.88,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.2,0.48,0.97,96.51,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.63,0.76,0.92,96.51,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.14,0.31,0.48,96.51,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,96.51,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,96.51,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.21,0.5,0.99,99.39,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.62,0.75,0.91,99.39,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.29,0.42,0.56,99.39,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.09,0.1,0.29,99.39,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.87,-0.2,0.47,99.39,"L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.21,0.48,0.93,101.21,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.63,0.76,0.92,101.21,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.3,0.43,0.57,101.21,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.92,-0.26,0.4,101.21,"L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.21,0.47,0.93,101.4,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.63,0.76,0.92,101.4,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.16,0.32,0.49,101.4,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.03,101.4,"social SD:
L2 proportion"
